model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
resnet44,cifar10,2.5,2048,2,0,44.3337,60.84312,27.134409
resnet44,cifar10,2.5,4096,4,0,76.50362,169.93878,54.98166
resnet44,cifar10,2.5,8192,8,0,186.08687,307.2365,39.432045
resnet44,cifar10,2.5,2048,2,2,48.507874,85.12191,43.013645
resnet44,cifar10,2.5,4096,4,4,76.0678,124.36813,38.836582
resnet44,cifar10,2.5,8192,8,8,170.3026,243.3185,30.008364
