model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
densenet40_k12,cifar10,1.3,2048,2,0,77.82284,23.043941,237.71497
densenet40_k12,cifar10,1.3,4096,4,0,177.22499,66.355415,167.08444
densenet40_k12,cifar10,1.3,8192,8,0,299.2453,156.29066,91.46716
densenet40_k12,cifar10,1.3,2048,2,2,115.37795,27.72029,316.22202
densenet40_k12,cifar10,1.3,4096,4,4,125.686485,49.8773,151.99136
densenet40_k12,cifar10,1.3,8192,8,8,149.07806,100.203285,48.775627
