left_out_model,train_mae,train_mape,test_mae,test_mape
alexnet,813.5136108398438,34.81987118721008,135.95936584472656,49.164459109306335
resnet110,945.957763671875,37.3568058013916,114.21627044677734,41.38922691345215
resnet44,845.470703125,33.150771260261536,47.68406295776367,25.019344687461853
resnet56,657.0702514648438,33.04811716079712,49.7800178527832,26.42059624195099
densenet40_k12,752.4111328125,29.946312308311462,86.8241195678711,168.8759207725525
googlenet,677.297119140625,28.97518277168274,1098.9896240234375,96.48518562316895
densenet100_k12,560.1112060546875,22.027243673801422,110.2240219116211,29.33218777179718
vgg16,613.8116455078125,39.58534002304077,15483.4267578125,253.93431186676025
resnet50,829.7019653320312,43.23504865169525,2841.680419921875,61.605650186538696
inception3,445.5735778808594,35.524287819862366,1659.0826416015625,40.599021315574646
bert,734.2347412109375,29.943743348121643,1160.1705322265625,32.89756774902344
gpt2,584.7842407226562,28.676527738571167,394.4636535644531,14.99137431383133
AVERAGE,704.9948298136393,33.02410431206226,1931.8751239776611,70.05957054595153
