model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
densenet40_k12,cifar10,1.3,2048,2,0,834.0725,23.043941,3519.487
densenet40_k12,cifar10,1.3,4096,4,0,709.8799,66.355415,969.8146
densenet40_k12,cifar10,1.3,8192,8,0,433.47513,156.29066,177.3519
densenet40_k12,cifar10,1.3,2048,2,2,757.35394,27.72029,2632.1287
densenet40_k12,cifar10,1.3,4096,4,4,663.2079,49.8773,1229.6787
densenet40_k12,cifar10,1.3,8192,8,8,503.07755,100.203285,402.05695
