model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
resnet56,cifar10,3.3,2048,2,0,41.44978,45.302692,8.504822
resnet56,cifar10,3.3,4096,4,0,104.33362,189.17413,44.84784
resnet56,cifar10,3.3,8192,8,0,328.9527,314.21274,4.6910763
resnet56,cifar10,3.3,2048,2,2,138.5911,100.58538,37.78453
resnet56,cifar10,3.3,4096,4,4,139.46176,161.9253,13.872775
resnet56,cifar10,3.3,8192,8,8,141.27846,276.05594,48.822525
