model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
alexnet,cifar10,6.7,8192,2,0,59.17392,66.49911,11.015468
alexnet,cifar10,6.7,16384,4,0,142.54095,319.27893,55.35535
alexnet,cifar10,6.7,32768,8,0,224.81796,554.6438,59.466244
alexnet,cifar10,6.7,8192,2,2,152.46303,81.03887,88.13567
alexnet,cifar10,6.7,16384,4,4,153.80116,218.35895,29.564983
alexnet,cifar10,6.7,32768,8,8,156.54114,322.42642,51.449036
