model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
vgg16,imagenet,527.8,256,2,0,890.9417,3002.8538,70.33017
vgg16,imagenet,527.8,512,4,0,1089.9763,6031.691,81.92918
vgg16,imagenet,527.8,1024,8,0,1518.1515,13001.371,88.32314
vgg16,imagenet,527.8,256,2,2,4825.2446,2115.108,128.13232
vgg16,imagenet,527.8,512,4,4,11519.506,4228.8394,172.40349
vgg16,imagenet,527.8,1024,8,8,70913.93,6551.0156,982.4876
