model,dataset,tensorsize,batch_size,workers,ps,predicted,actual,error_pct
resnet110,cifar10,6.6,2048,2,0,92.18652,104.736855,11.982727
resnet110,cifar10,6.6,4096,4,0,161.29684,251.5237,35.87211
resnet110,cifar10,6.6,8192,8,0,421.2687,405.29138,3.9421823
resnet110,cifar10,6.6,2048,2,2,84.64808,110.36195,23.299582
resnet110,cifar10,6.6,4096,4,4,118.985016,246.77055,51.78314
resnet110,cifar10,6.6,8192,8,8,358.4338,425.21222,15.704725
